timestamp,tank_id,temp_c,do_mgL,ph,ammonia_mgL,turbidity_ntu,flow_Lmin
2026-03-16 20:30:00,T2,28.49,7.34,6.87,0.211,4.3,421.9
2026-03-27 09:20:00,T1,27.9,6.2,7.14,0.273,4.7,422.2
2026-03-18 18:30:00,T2,28.35,6.88,6.81,0.38,5.9,419.7
2026-04-11 20:00:00,T2,28.77,7.4,6.76,0.245,4.2,418.9
2026-05-08 16:40:00,T3,28.83,7.47,6.72,0.184,2.5,417.4
2026-03-07 01:20:00,T1,28.24,7.41,7.11,0.181,2.7,426.2
2026-04-08 21:10:00,T1,28.71,7.68,6.81,0.177,3.2,420.6
2026-05-19 19:20:00,T4,30.06,6.91,7.02,0.278,5.4,419.9
2026-03-11 02:00:00,T3,28.17,7.25,7.0,0.149,3.3,418.0
2026-05-19 19:20:00,T3,29.09,7.23,7.01,0.27,4.9,417.7
2026-03-09 07:30:00,T1,27.71,6.64,7.05,0.138,2.6,421.5
2026-05-27 17:30:00,T4,29.99,7.43,6.8,0.182,3.6,422.7
2026-04-10 11:20:00,T1,28.09,6.72,6.78,0.181,2.9,420.2
2026-04-30 13:00:00,T2,28.37,6.66,6.76,1.267,2.9,421.6
2026-03-24 23:40:00,T4,28.61,7.45,7.26,0.187,3.2,418.5
2026-03-29 01:40:00,T2,28.5,6.24,7.1,0.15,3.2,416.1
2026-05-15 22:50:00,T1,29.03,7.36,7.07,0.135,3.3,415.1
2026-03-01 02:00:00,T4,28.19,7.11,7.29,0.134,3.4,428.3
2026-04-11 20:00:00,T3,28.72,7.58,6.83,0.242,3.9,417.6
2026-05-04 07:50:00,T4,29.19,6.47,6.81,0.153,2.7,419.0
2026-05-02 16:50:00,T4,29.6,7.44,6.85,0.163,3.4,422.4
2026-03-02 10:10:00,T3,27.64,6.57,7.2,0.234,4.2,417.1
2026-03-01 05:40:00,T3,27.69,6.79,7.23,0.111,3.0,420.2
2026-03-29 05:00:00,T3,28.06,6.81,7.16,0.138,2.6,423.8
2026-03-21 12:20:00,T1,27.87,6.89,6.71,0.196,3.0,420.8
2026-03-19 04:40:00,T1,28.0,6.79,6.78,0.139,3.3,420.3
2026-03-14 16:30:00,T3,28.29,7.42,6.91,0.184,3.5,416.9
2026-04-23 17:10:00,T1,28.67,7.51,7.05,0.164,4.2,422.9
2026-03-30 14:10:00,T2,28.3,5.7,7.07,0.25,5.0,422.6
2026-04-19 21:00:00,T1,28.82,7.5,7.15,0.168,3.8,421.9
2026-03-06 12:10:00,T2,27.84,6.85,7.12,0.171,3.7,420.4
2026-04-23 15:10:00,T3,28.51,7.08,7.11,0.254,4.2,418.5
2026-05-29 13:20:00,T3,28.77,6.18,6.77,0.402,6.7,416.6
2026-05-10 17:40:00,T1,28.97,7.45,7.2,0.166,3.4,422.7
2026-03-09 12:20:00,T3,27.85,6.87,7.03,0.195,3.1,422.3
2026-05-29 10:00:00,T2,28.59,6.26,6.75,0.252,4.2,422.4
2026-05-15 01:50:00,T1,28.83,7.13,7.08,0.164,3.5,418.5
2026-04-16 12:00:00,T2,28.28,6.74,7.26,0.16,2.9,424.3
2026-05-26 23:20:00,T1,29.13,7.34,6.77,0.136,2.7,421.3
2026-05-01 06:20:00,T2,28.37,6.43,6.78,0.725,2.7,420.3
2026-03-28 04:40:00,T3,28.18,6.86,7.18,0.128,2.9,416.4
2026-04-17 02:10:00,T1,28.54,7.08,7.22,0.161,2.5,421.0
2026-03-01 12:00:00,T3,27.68,6.8,7.23,0.178,3.1,416.1
2026-03-10 23:10:00,T3,28.21,7.51,6.99,0.138,2.5,421.9
2026-05-09 12:50:00,T2,28.5,6.81,7.25,0.162,3.6,429.0
2026-04-10 16:50:00,T1,28.62,7.39,6.77,0.199,3.3,415.9
2026-03-22 19:20:00,T3,28.47,7.35,7.31,0.255,4.3,415.2
2026-05-21 02:10:00,T3,28.98,6.92,7.0,0.133,2.5,419.4
2026-05-09 10:30:00,T4,29.14,6.46,7.28,0.224,3.4,421.3
2026-05-10 16:20:00,T4,29.73,7.19,7.25,0.195,3.8,416.6
2026-03-30 16:50:00,T3,28.34,7.57,7.11,0.155,3.5,418.5
2026-05-07 19:40:00,T4,29.88,7.1,6.7,0.28,4.6,423.2
2026-03-25 08:00:00,T1,27.91,6.55,7.2,0.121,2.7,423.0
2026-05-18 06:40:00,T2,28.54,6.65,7.03,0.137,3.4,424.6
2026-04-03 00:00:00,T1,28.6,7.46,6.96,0.145,3.7,424.3
2026-04-19 05:00:00,T3,28.35,6.77,7.22,0.12,3.4,421.6
2026-04-15 22:00:00,T2,28.9,7.45,7.28,0.213,3.7,421.4
2026-04-15 09:50:00,T3,28.16,6.4,6.71,0.249,4.0,422.9
2026-05-18 15:30:00,T2,28.87,7.14,6.99,0.209,3.9,423.1
2026-04-08 04:10:00,T1,28.3,6.71,6.84,0.186,3.1,420.5
2026-05-16 13:50:00,T2,28.77,6.41,7.06,0.361,5.0,423.3
2026-04-24 18:40:00,T3,28.71,7.09,7.07,0.311,5.5,416.4
2026-05-18 23:50:00,T1,28.93,7.33,6.98,0.165,3.9,421.5
2026-04-23 03:40:00,T4,29.35,6.8,7.09,0.163,3.3,420.2
2026-04-16 21:10:00,T2,28.77,7.35,7.24,0.182,3.2,421.1
2026-04-19 22:30:00,T3,28.87,7.5,7.21,0.088,3.3,424.6
2026-03-19 10:20:00,T2,27.95,6.53,6.77,0.204,3.7,419.0
2026-03-11 13:30:00,T1,27.83,6.38,6.99,0.367,6.0,418.1
2026-05-01 12:50:00,T3,28.4,6.85,6.84,0.539,3.4,416.0
2026-03-11 20:00:00,T4,28.59,7.54,7.0,0.243,3.4,417.5
2026-04-04 08:50:00,T2,28.04,6.04,6.97,0.338,4.9,422.3
2026-04-26 06:30:00,T2,28.34,6.28,6.87,1.124,3.3,421.8
2026-05-12 19:20:00,T2,29.11,7.16,7.14,0.265,5.1,416.0
2026-05-26 14:30:00,T1,28.87,6.89,6.8,0.269,4.9,421.5
2026-04-23 20:10:00,T3,28.88,7.57,7.1,0.214,3.7,421.7
2026-04-11 20:00:00,T1,28.68,7.49,6.74,0.229,3.9,415.6
2026-05-12 06:30:00,T4,29.33,6.49,7.22,0.131,3.3,421.3
2026-03-19 02:10:00,T2,28.27,6.99,6.81,0.179,3.4,421.5
2026-04-18 14:10:00,T1,28.35,6.76,7.2,0.266,5.2,425.7
2026-04-25 20:00:00,T3,28.89,7.31,6.96,0.885,3.8,419.0
2026-03-24 13:40:00,T1,28.14,6.43,7.2,0.348,5.8,418.7
2026-04-25 05:20:00,T4,29.28,6.48,7.02,0.299,3.2,420.7
2026-05-19 15:30:00,T2,28.9,6.98,6.98,0.231,4.1,419.4
2026-03-19 04:40:00,T3,28.02,6.89,6.79,0.153,2.5,421.8
2026-04-20 16:20:00,T4,29.42,7.26,7.16,0.194,3.7,426.1
2026-04-01 15:40:00,T2,28.43,5.86,7.04,0.21,3.4,416.8
2026-04-27 17:30:00,T2,28.68,7.08,6.73,1.885,3.4,421.3
2026-05-20 09:10:00,T3,28.43,6.08,7.01,0.288,4.9,416.1
2026-05-20 04:30:00,T2,28.69,6.69,6.96,0.209,3.2,422.9
2026-05-03 15:00:00,T2,28.78,6.92,6.82,0.247,4.3,422.0
2026-05-10 22:50:00,T2,28.97,7.31,7.21,0.15,3.0,415.9
2026-05-08 04:50:00,T4,29.37,6.69,6.71,0.148,2.6,418.5
2026-04-11 17:40:00,T4,28.77,7.5,6.81,0.183,3.6,426.3
2026-03-26 01:50:00,T1,28.32,7.15,7.18,0.163,2.8,421.8
2026-05-20 06:30:00,T3,28.55,6.66,7.04,0.131,3.0,421.2
2026-03-22 05:30:00,T2,28.12,6.59,6.71,0.149,3.5,421.5
2026-03-15 22:40:00,T4,28.48,7.55,6.9,0.18,3.0,419.1
2026-03-31 11:50:00,T4,28.16,6.65,7.1,0.194,3.7,420.5
2026-04-12 17:20:00,T3,28.58,7.49,6.83,0.133,3.7,419.2
2026-04-22 07:00:00,T2,28.34,6.66,7.1,0.165,2.7,418.8
2026-05-21 18:40:00,T2,29.16,6.81,6.95,0.35,5.4,421.3
2026-04-28 17:40:00,T3,28.81,7.01,6.71,1.938,3.1,418.4
2026-05-14 15:30:00,T3,28.81,7.07,7.17,0.172,4.2,425.8
2026-05-14 22:30:00,T2,29.18,7.42,7.12,0.105,3.3,424.1
2026-03-08 06:50:00,T4,27.9,6.59,7.08,0.16,2.7,426.5
2026-05-28 20:00:00,T2,29.21,7.4,6.76,0.24,4.8,425.8
2026-03-22 08:30:00,T4,27.93,5.78,6.73,0.374,6.1,418.4
2026-05-01 22:50:00,T3,28.87,7.5,6.89,0.195,2.6,420.2
2026-03-04 11:40:00,T2,27.8,6.52,7.17,0.151,3.3,421.9
2026-05-11 10:00:00,T3,28.36,6.31,7.23,0.219,4.1,421.4
2026-05-08 08:40:00,T4,29.13,5.71,6.7,0.372,5.8,421.0
2026-04-06 12:30:00,T2,28.19,6.78,6.9,0.158,3.3,422.9
2026-04-26 20:30:00,T3,28.87,7.17,6.82,1.513,3.4,420.0
2026-05-22 14:40:00,T1,28.76,6.82,6.89,0.226,4.2,419.9
2026-03-23 14:10:00,T3,28.19,6.93,7.29,0.275,4.7,415.5
2026-05-01 15:50:00,T1,28.65,7.23,6.82,0.447,3.4,420.9
2026-03-18 15:20:00,T2,28.23,7.01,6.79,0.262,4.2,421.2
2026-05-27 20:30:00,T4,30.09,7.45,6.81,0.237,3.9,421.4
2026-03-25 02:10:00,T2,28.44,6.46,7.23,0.136,3.3,416.2
2026-04-11 08:30:00,T2,28.15,5.64,6.79,0.366,6.0,419.2
2026-05-18 16:20:00,T1,28.94,7.39,7.0,0.163,3.7,420.4
2026-03-19 06:50:00,T4,27.94,6.64,6.79,0.157,2.6,420.2
2026-04-02 21:50:00,T3,28.59,7.56,7.02,0.139,3.5,418.8
2026-04-01 22:30:00,T1,28.73,7.35,7.0,0.18,2.8,418.1
2026-05-09 09:50:00,T1,28.43,6.26,7.25,0.214,4.0,420.8
2026-03-20 19:20:00,T3,28.51,7.38,6.73,0.275,4.0,420.8
2026-05-24 00:00:00,T2,29.12,7.31,6.88,0.203,3.4,422.1
2026-04-23 15:40:00,T4,29.4,7.23,7.07,0.169,4.3,423.3
2026-03-06 00:10:00,T1,28.34,7.47,7.13,0.129,3.3,422.1
2026-03-15 07:30:00,T4,27.85,6.38,6.9,0.182,3.8,417.9
2026-04-20 16:00:00,T1,28.58,7.26,7.14,0.215,3.3,415.5
2026-03-16 21:40:00,T2,28.5,7.49,6.86,0.177,3.0,422.0
2026-05-28 07:50:00,T3,28.43,6.5,6.81,0.136,3.2,415.6
2026-05-21 20:30:00,T4,30.09,7.3,6.96,0.266,4.1,420.3
2026-03-20 21:20:00,T3,28.39,7.59,6.73,0.192,3.3,418.6
2026-04-20 01:30:00,T4,29.5,7.13,7.18,0.193,2.9,423.2
2026-05-02 13:40:00,T4,29.35,6.21,6.86,0.352,5.5,426.2
2026-03-29 22:10:00,T2,28.59,6.29,7.09,0.15,3.3,418.7
2026-05-16 09:10:00,T4,29.34,5.96,7.1,0.285,5.2,421.3
2026-04-21 11:30:00,T3,28.21,6.72,7.17,0.124,3.3,422.4
2026-04-16 08:10:00,T3,28.06,5.86,7.28,0.401,6.5,419.1
2026-03-16 10:30:00,T2,27.92,6.5,6.85,0.201,3.8,425.0
2026-04-07 12:50:00,T2,28.26,6.92,6.88,0.146,3.2,424.1
2026-03-09 01:10:00,T2,28.28,7.41,7.05,0.185,3.2,421.0
2026-03-26 09:10:00,T1,27.92,6.17,7.18,0.288,4.4,422.6
2026-05-19 07:40:00,T1,28.54,6.55,6.98,0.148,3.6,421.0
2026-04-09 20:50:00,T4,28.84,7.4,6.83,0.199,3.7,421.3
2026-03-01 11:50:00,T3,27.69,6.98,7.23,0.167,2.9,423.4
2026-05-03 10:00:00,T1,28.27,6.38,6.82,0.226,3.8,421.7
2026-05-27 10:30:00,T2,28.64,6.49,6.8,0.174,4.5,423.1
2026-05-21 22:40:00,T4,30.04,7.35,6.98,0.174,3.1,419.8
2026-04-23 13:10:00,T3,28.39,6.08,7.11,0.436,7.2,420.5
2026-05-20 16:40:00,T4,29.86,7.28,6.99,0.209,3.5,424.9
2026-04-22 11:40:00,T2,28.23,6.75,7.1,0.199,3.3,418.3
2026-03-15 18:40:00,T2,28.59,6.93,6.87,0.354,5.3,425.4
2026-03-14 09:20:00,T1,27.82,6.18,6.91,0.273,4.2,422.9
2026-03-25 04:50:00,T3,28.08,6.69,7.25,0.144,2.6,420.9
2026-05-18 08:30:00,T1,28.38,5.68,7.01,0.374,6.2,418.5
2026-04-04 22:30:00,T4,28.7,7.5,6.97,0.176,4.0,425.5
2026-04-19 09:20:00,T1,28.2,6.11,7.18,0.295,4.6,417.9
2026-04-14 02:00:00,T1,28.56,7.18,7.32,0.204,3.2,418.4
2026-04-15 12:40:00,T3,28.21,7.12,6.71,0.16,2.4,416.4
2026-05-06 06:00:00,T1,,,,,,
2026-03-21 18:40:00,T3,28.52,7.22,6.73,0.313,5.5,412.2
2026-04-29 21:30:00,T1,28.98,7.14,6.69,1.62,3.3,419.9
2026-04-27 18:00:00,T4,29.64,5.96,6.75,2.163,7.0,419.3
2026-04-08 08:50:00,T3,28.07,6.04,6.89,0.339,5.1,417.0
2026-04-20 13:10:00,T2,28.41,5.99,7.15,0.441,7.1,419.3
2026-04-01 10:10:00,T1,27.92,6.47,7.01,0.24,4.2,421.0
2026-03-29 21:20:00,T4,28.73,7.43,7.14,0.213,3.7,421.3
2026-05-24 02:10:00,T4,29.76,6.86,6.92,0.139,3.4,424.8
2026-05-22 14:20:00,T1,28.72,6.81,6.91,0.255,4.5,421.3
2026-04-08 08:00:00,T1,28.08,5.39,6.83,0.459,7.1,419.0
2026-05-29 21:30:00,T1,29.09,7.62,6.71,0.128,3.8,417.0
2026-03-26 04:40:00,T3,28.07,6.83,7.23,0.173,2.9,417.2
2026-03-05 15:40:00,T2,28.23,7.36,7.14,0.198,3.5,423.1
2026-05-29 10:50:00,T4,29.58,6.37,6.76,0.243,3.8,422.8
2026-03-15 21:00:00,T2,28.55,7.5,6.88,0.168,3.4,423.6
2026-03-04 21:00:00,T2,28.34,7.54,7.14,0.153,3.8,420.5
2026-04-08 15:00:00,T4,28.39,6.86,6.89,0.257,4.3,422.0
2026-03-11 00:10:00,T1,28.35,7.4,7.0,0.158,3.3,421.1
2026-04-08 03:40:00,T1,28.36,6.82,6.84,0.135,2.9,420.6
2026-05-07 03:10:00,T1,28.7,6.93,6.69,0.182,2.9,419.6
2026-04-01 00:30:00,T2,28.53,6.01,7.04,0.166,3.2,421.2
2026-05-22 21:00:00,T2,29.24,7.25,6.9,0.186,3.3,418.2
2026-04-03 12:50:00,T2,28.13,6.87,6.98,0.19,3.1,421.2
2026-04-19 19:20:00,T1,28.79,7.31,7.16,0.272,4.2,420.2
2026-05-05 00:00:00,T4,29.76,7.29,6.78,0.181,2.9,425.3
2026-04-26 01:30:00,T2,28.8,7.05,6.9,0.986,3.2,418.5
2026-04-02 23:40:00,T1,28.63,7.56,6.97,0.154,3.1,420.8
2026-05-12 20:20:00,T1,29.09,7.34,7.15,0.26,3.8,426.0
2026-04-10 15:40:00,T1,28.42,7.19,6.77,0.208,3.9,417.6
2026-04-16 14:50:00,T2,28.58,6.8,7.27,0.221,4.8,420.7
2026-03-25 10:50:00,T1,27.93,6.63,7.18,0.181,4.0,424.4
2026-03-14 18:00:00,T4,28.39,6.34,6.91,0.433,7.4,420.7
2026-05-20 17:00:00,T2,29.08,7.34,6.95,0.182,3.4,421.6
2026-03-28 07:30:00,T1,28.0,6.74,7.09,0.177,3.2,425.6
2026-04-14 21:50:00,T4,28.83,7.42,6.72,0.188,3.3,419.4
2026-03-14 02:50:00,T2,28.22,7.09,6.93,0.136,3.1,423.3
2026-03-16 23:40:00,T3,28.39,7.45,6.82,0.157,3.3,422.3
2026-04-13 10:50:00,T1,28.12,6.56,6.67,0.207,3.0,418.2
2026-03-20 18:10:00,T3,28.38,6.82,6.77,0.436,6.0,416.2
2026-03-14 04:20:00,T2,28.03,6.63,6.93,0.146,3.4,421.7
2026-04-07 09:30:00,T2,28.12,6.06,6.87,0.255,4.5,417.6
2026-04-03 07:00:00,T1,28.08,6.66,6.97,0.149,3.2,421.1
2026-03-20 01:50:00,T2,28.31,7.15,6.74,0.141,3.2,420.4
2026-03-16 08:10:00,T2,27.83,5.71,6.86,0.42,6.6,418.3
2026-05-14 02:10:00,T1,28.87,7.02,7.11,0.165,3.1,417.2
2026-03-05 07:30:00,T3,27.63,6.67,7.14,0.106,2.8,419.2
2026-05-11 12:00:00,T3,28.42,6.78,7.23,0.183,3.4,421.9
2026-05-04 02:10:00,T3,28.71,7.13,6.84,0.175,2.8,418.2
2026-05-27 18:40:00,T1,29.14,6.95,6.78,0.343,6.2,423.2
2026-03-24 12:50:00,T4,28.14,6.97,7.29,0.17,3.5,422.7
2026-04-06 09:10:00,T2,28.03,6.12,6.89,0.294,5.1,419.5
2026-04-15 13:50:00,T4,28.44,6.55,6.72,0.325,5.0,420.1
2026-04-24 14:30:00,T1,28.48,6.89,7.02,0.236,4.4,415.5
2026-03-21 05:40:00,T1,27.99,6.69,6.73,0.163,2.9,422.6
2026-03-19 15:20:00,T1,28.14,7.17,6.77,0.239,4.1,420.5
2026-03-24 05:50:00,T2,27.97,6.27,7.24,0.131,2.7,421.3
2026-03-15 19:40:00,T4,28.56,7.29,6.88,0.276,4.6,426.3
2026-03-03 19:00:00,T2,28.3,7.17,7.17,0.294,4.8,419.1
2026-03-24 21:30:00,T4,28.65,7.58,7.26,0.202,3.5,422.3
2026-03-07 17:50:00,T2,28.27,7.61,7.06,0.196,3.5,417.4
2026-03-18 16:40:00,T1,28.23,7.39,6.78,0.17,3.8,420.3
2026-05-23 01:00:00,T3,28.98,7.18,6.95,0.164,3.2,422.3
2026-05-28 20:20:00,T2,29.27,7.44,6.75,0.208,3.7,422.6
2026-03-25 00:30:00,T2,28.44,6.82,7.24,0.138,3.0,424.8
2026-04-01 06:10:00,T2,28.19,5.18,7.05,0.156,3.3,417.9
2026-05-17 08:10:00,T3,28.42,5.8,7.11,0.406,6.4,417.7
